Counter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw	Latitude	Longitude	Altitude	Vel_X	Vel_Y	Vel_Z	
61074	0.128749	-0.006882	9.776289	-0.036715	-0.036839	0.067302	0.173611	0.312123	0.346339	0.613113	-1.531656	-3.392045	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
61075	0.164214	0.084777	9.788389	-0.028395	-0.023359	0.064866	0.168000	0.318492	0.337567	0.601775	-1.541668	-3.358932	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
61076	0.249640	0.284025	9.831561	-0.021362	-0.043784	0.033500	0.173837	0.312638	0.346485	0.593817	-1.560923	-3.340717	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
61077	0.323299	0.299711	9.790205	-0.019598	-0.031545	0.025647	0.167950	0.320169	0.337749	0.587301	-1.574650	-3.326378	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
61078	0.302226	0.230659	9.736227	-0.026811	-0.037551	0.011121	0.175415	0.313264	0.346975	0.577026	-1.590816	-3.318211	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
61079	0.267949	0.129251	9.687766	-0.017783	-0.022686	0.027693	0.169049	0.319053	0.338774	0.571390	-1.600325	-3.302849	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
61080	0.236383	0.068973	9.722461	-0.048080	-0.022010	0.033257	0.175117	0.312860	0.346148	0.550658	-1.609172	-3.284609	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
61081	0.302774	-0.024274	9.774927	-0.043394	-0.021515	0.040269	0.171263	0.318796	0.338208	0.532560	-1.618162	-3.263228	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
61082	0.405611	-0.168381	9.764002	-0.044534	-0.014776	0.063554	0.175270	0.311648	0.346094	0.513106	-1.623676	-3.230221	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
61083	0.291136	-0.325608	9.758417	-0.043594	-0.008134	0.086172	0.169076	0.318499	0.338937	0.494042	-1.626501	-3.186845	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
61084	0.161755	-0.375824	9.789933	-0.073822	-0.003025	0.134915	0.175157	0.311890	0.347129	0.459631	-1.626661	-3.120222	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
61085	0.112510	-0.503079	9.778402	-0.069511	-0.018766	0.173373	0.170391	0.318167	0.337831	0.426635	-1.634735	-3.035223	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
61086	-0.031995	-0.482171	9.827477	-0.082819	-0.010885	0.225420	0.176859	0.310576	0.344933	0.386683	-1.638873	-2.924584	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
61087	-0.059331	-0.211657	9.936150	-0.067532	-0.019475	0.268992	0.172173	0.317456	0.337350	0.353014	-1.647236	-2.793898	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
