Counter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw	Latitude	Longitude	Altitude	Vel_X	Vel_Y	Vel_Z	
45092	0.380784	-0.143331	9.825925	-0.007822	-0.003619	-0.040169	0.334650	0.146668	0.343000	-1.760672	-1.330382	3.904503	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45093	0.388451	-0.244435	9.778123	0.002692	-0.007495	-0.039588	0.334409	0.146515	0.346159	-1.755498	-1.334299	3.887992	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45094	0.392291	-0.369546	9.734668	-0.005597	-0.004593	-0.037103	0.333413	0.146538	0.342047	-1.754583	-1.336639	3.872474	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45095	0.295581	-0.354300	9.746700	-0.020490	0.016618	-0.045577	0.336103	0.146675	0.345977	-1.760452	-1.329215	3.852755	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45096	0.137603	-0.199045	9.794899	-0.016377	-0.012444	-0.040417	0.333422	0.147686	0.342784	-1.764651	-1.335351	3.834706	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45097	0.143402	-0.150998	9.800565	0.005011	-0.014740	-0.046499	0.334254	0.146601	0.347196	-1.758257	-1.342843	3.815002	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45098	0.287216	-0.255589	9.799274	-0.001492	-0.014552	-0.051822	0.334162	0.147184	0.343837	-1.755218	-1.350151	3.794341	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45099	0.276231	-0.277133	9.802712	-0.003737	-0.020012	-0.036801	0.335490	0.147375	0.345992	-1.753087	-1.360048	3.779343	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45100	0.246488	-0.341864	9.750196	-0.005564	-0.009059	-0.046101	0.333513	0.147665	0.343063	-1.752049	-1.364649	3.759113	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45101	0.264522	-0.421413	9.703743	-0.020859	-0.023073	-0.058865	0.335206	0.146881	0.345715	-1.757902	-1.376343	3.733629	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45102	0.199145	-0.411169	9.775699	-0.008426	-0.017977	-0.055418	0.333180	0.148176	0.343788	-1.758120	-1.385338	3.709182	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45103	0.175719	-0.358027	9.818999	-0.006752	-0.009006	-0.050765	0.334715	0.147097	0.347231	-1.757381	-1.390163	3.687359	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45104	0.221266	-0.389708	9.780975	-0.016530	-0.014295	-0.033161	0.332416	0.148372	0.343544	-1.761720	-1.397076	3.673575	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45105	0.269050	-0.479085	9.767482	-0.017123	-0.018818	-0.030481	0.334491	0.148018	0.347551	-1.766265	-1.406290	3.661583	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45106	0.307726	-0.402438	9.791964	-0.006257	-0.009079	-0.040766	0.333041	0.147503	0.344202	-1.765604	-1.410827	3.646301	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45107	0.253219	-0.276912	9.828971	-0.012369	-0.018966	-0.025394	0.333535	0.147917	0.345705	-1.767964	-1.420062	3.636742	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45108	0.293076	-0.224379	9.800061	0.009231	-0.014818	-0.051269	0.332889	0.147808	0.343636	-1.759781	-1.427492	3.614671	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45109	0.399986	-0.249313	9.801476	0.014282	-0.016681	-0.063131	0.333384	0.148222	0.345139	-1.748918	-1.436254	3.587062	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45110	0.423982	-0.259086	9.841001	0.015301	-0.014859	-0.070187	0.331735	0.146673	0.344073	-1.737604	-1.443971	3.557541	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45111	0.482682	-0.201894	9.819361	0.031976	-0.011513	-0.093127	0.333696	0.148596	0.345160	-1.717875	-1.450824	3.515537	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45112	0.619770	-0.203077	9.783298	0.040308	-0.011541	-0.122544	0.333156	0.149487	0.343981	-1.693977	-1.457681	3.458017	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45113	0.648528	-0.280233	9.806315	0.049605	-0.034266	-0.140896	0.335505	0.149124	0.345372	-1.665207	-1.476288	3.393527	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45114	0.508345	-0.363176	9.844305	0.058363	-0.002800	-0.147095	0.333137	0.149700	0.342508	-1.632361	-1.479254	3.327106	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45115	0.371527	-0.333221	9.809904	0.057193	0.027234	-0.174457	0.333402	0.150435	0.345688	-1.599573	-1.469009	3.245749	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
